ruta_simulada,total_viajes,tiempo_promedio,distancia_promedio
Duracion_~134hrs_Dist_~2km,7,8062.857142857143,2150.095238095238
Duracion_~163hrs_Dist_~2km,7,9806.714285714286,2615.123809523809
Duracion_~214hrs_Dist_~3km,7,12873.857142857143,3433.0285714285715
Duracion_~143hrs_Dist_~2km,7,8613.0,2296.8
Duracion_~206hrs_Dist_~3km,7,12393.0,3304.7999999999997
Duracion_~215hrs_Dist_~3km,7,12938.0,3450.1333333333337
Duracion_~131hrs_Dist_~2km,7,7891.714285714285,2104.4571428571426
Duracion_~195hrs_Dist_~3km,7,11733.714285714286,3128.9904761904763
Duracion_~211hrs_Dist_~3km,7,12691.142857142857,3384.304761904762
Duracion_~132hrs_Dist_~2km,7,7958.857142857143,2122.3619047619045
Duracion_~222hrs_Dist_~3km,7,13351.42857142857,3560.3809523809527
Duracion_~125hrs_Dist_~2km,7,7543.714285714285,2011.6571428571428
Duracion_~208hrs_Dist_~3km,7,12509.0,3335.7333333333336
Duracion_~199hrs_Dist_~3km,7,11974.285714285714,3193.1428571428573
Duracion_~164hrs_Dist_~2km,7,9868.57142857143,2631.619047619048
Duracion_~122hrs_Dist_~1km,7,7350.428571428572,1960.1142857142856
Duracion_~153hrs_Dist_~2km,7,9208.57142857143,2455.619047619048
Duracion_~173hrs_Dist_~2km,7,10410.142857142857,2776.038095238095
Duracion_~158hrs_Dist_~2km,7,9500.714285714286,2533.5238095238096
Duracion_~155hrs_Dist_~2km,6,9335.666666666666,2489.511111111111
Duracion_~220hrs_Dist_~3km,6,13228.333333333334,3527.555555555555
Duracion_~140hrs_Dist_~2km,6,8432.833333333334,2248.7555555555555
Duracion_~119hrs_Dist_~1km,6,7173.833333333333,1913.022222222222
Duracion_~121hrs_Dist_~1km,6,7283.666666666667,1942.3111111111111
Duracion_~138hrs_Dist_~2km,6,8312.5,2216.6666666666665
Duracion_~124hrs_Dist_~1km,6,7473.333333333333,1992.888888888889
Duracion_~240hrs_Dist_~3km,6,14432.5,3848.6666666666665
Duracion_~110hrs_Dist_~1km,6,6638.7444444444445,1770.3318518518518
Duracion_~170hrs_Dist_~2km,6,10231.666666666666,2728.444444444445
Duracion_~200hrs_Dist_~3km,6,12040.166666666666,3210.711111111111
Duracion_~151hrs_Dist_~2km,6,9100.666666666666,2426.8444444444444
Duracion_~233hrs_Dist_~3km,6,14011.333333333334,3736.355555555556
Duracion_~181hrs_Dist_~2km,6,10892.166666666666,2904.577777777778
Duracion_~107hrs_Dist_~1km,6,6445.333333333333,1718.7555555555555
Duracion_~212hrs_Dist_~3km,6,12757.0,3401.866666666667
Duracion_~198hrs_Dist_~3km,6,11919.0,3178.3999999999996
Duracion_~188hrs_Dist_~3km,5,11307.4,3015.3066666666664
Duracion_~259hrs_Dist_~4km,5,15579.8,4154.613333333333
Duracion_~202hrs_Dist_~3km,5,12142.6,3238.0266666666666
Duracion_~241hrs_Dist_~3km,5,14504.2,3867.786666666667
Duracion_~183hrs_Dist_~2km,5,10994.8,2931.9466666666667
Duracion_~223hrs_Dist_~3km,5,13399.6,3573.226666666667
Duracion_~237hrs_Dist_~3km,5,14248.2,3799.5199999999995
Duracion_~246hrs_Dist_~3km,5,14782.2,3941.9200000000005
Duracion_~216hrs_Dist_~3km,5,12998.2,3466.186666666666
Duracion_~225hrs_Dist_~3km,5,13526.6,3607.0933333333332
Duracion_~232hrs_Dist_~3km,5,13949.2,3719.786666666667
Duracion_~192hrs_Dist_~3km,5,11561.6,3083.0933333333332
Duracion_~221hrs_Dist_~3km,5,13293.4,3544.9066666666668
Duracion_~201hrs_Dist_~3km,5,12088.4,3223.5733333333333
Duracion_~165hrs_Dist_~2km,4,9939.25,2650.4666666666662
Duracion_~196hrs_Dist_~3km,4,11777.5,3140.666666666667
Duracion_~289hrs_Dist_~4km,4,17367.75,4631.4
Duracion_~262hrs_Dist_~4km,4,15748.75,4199.666666666666
Duracion_~207hrs_Dist_~3km,4,12441.5,3317.733333333333
Duracion_~217hrs_Dist_~3km,4,13042.25,3477.9333333333334
Duracion_~156hrs_Dist_~2km,4,9385.5,2502.8
Duracion_~273hrs_Dist_~4km,4,16424.0,4379.733333333334
Duracion_~258hrs_Dist_~4km,4,15498.5,4132.933333333333
Duracion_~219hrs_Dist_~3km,4,13160.0,3509.333333333333
