bici,viajes,distancia_total,minutos_totales,eficiencia_km_min
530-7749,4,3848.182222222222,14430.68333333334,0.26666666666666655
365-8044,6,5235.6177777777775,19633.566666666673,0.26666666666666655
242-3861,4,3502.048888888889,13132.68333333334,0.26666666666666655
744-0340,4,2882.6177777777775,10809.81666666667,0.26666666666666655
663-6963,3,2812.5244444444443,10546.96666666667,0.26666666666666655
622-3317,9,12106.884444444444,45400.81666666668,0.26666666666666655
245-0013,6,5864.0488888888885,21990.18333333334,0.26666666666666655
672-8208,6,6089.16,22834.35000000001,0.26666666666666655
298-6859,5,3038.4577777777777,11394.21666666667,0.26666666666666655
313-2362,8,9581.435555555556,35930.383333333346,0.26666666666666655
429-2264,6,5080.19111111111,19050.71666666667,0.26666666666666655
523-3416,4,3261.0977777777775,12229.11666666667,0.26666666666666655
531-7136,9,10282.693333333333,38560.10000000001,0.26666666666666655
346-2587,7,5435.039999999999,20381.400000000005,0.26666666666666655
698-2177,5,4460.724444444444,16727.71666666667,0.26666666666666655
330-8814,9,11444.39111111111,42916.46666666668,0.26666666666666655
507-5130,9,11512.24888888889,43170.93333333335,0.26666666666666655
689-1873,5,3656.2044444444446,13710.766666666672,0.26666666666666655
509-6821,4,3536.0977777777775,13260.36666666667,0.26666666666666655
646-3905,6,4882.093333333333,18307.850000000006,0.26666666666666655
884-9622,4,3357.822222222222,12591.83333333334,0.26666666666666655
700-5630,3,2780.1911111111112,10425.71666666667,0.26666666666666655
508-9420,7,8902.333333333334,33383.750000000015,0.26666666666666655
202-7555,3,2072.5022222222224,7771.883333333337,0.26666666666666655
433-2201,6,6065.457777777777,22745.466666666674,0.26666666666666655
354-7577,1,1322.217777777778,4958.31666666667,0.26666666666666655
817-0151,4,4092.884444444444,15348.316666666671,0.26666666666666655
642-2463,9,10949.63111111111,41061.11666666668,0.26666666666666655
266-2021,8,8333.244444444443,31249.66666666667,0.26666666666666655
290-8523,5,4165.5777777777785,15620.916666666677,0.26666666666666655
408-4117,4,3209.373333333333,12035.150000000003,0.26666666666666655
563-7863,4,3637.0755555555556,13639.03333333334,0.26666666666666655
784-7205,4,4007.195555555556,15026.98333333334,0.26666666666666655
753-4167,6,5730.3822222222225,21488.93333333334,0.26666666666666655
892-5505,8,8798.039999999999,32992.65000000001,0.26666666666666655
363-6016,6,5539.9333333333325,20774.750000000004,0.26666666666666655
869-2618,6,5658.644444444445,21219.91666666668,0.26666666666666655
612-7096,5,3292.2,12345.750000000004,0.26666666666666655
331-9944,4,3746.248888888889,14048.43333333334,0.26666666666666655
608-7621,9,12131.244444444443,45492.16666666668,0.26666666666666655
424-5155,4,3757.431111111111,14090.366666666672,0.26666666666666655
448-9076,4,3489.671111111111,13086.26666666667,0.26666666666666655
576-7140,4,3855.4400000000005,14457.900000000009,0.26666666666666655
773-5301,4,3604.4577777777777,13516.71666666667,0.26666666666666655
263-1802,8,8220.23111111111,30825.866666666676,0.26666666666666655
495-0713,5,3768.0933333333337,14130.350000000008,0.26666666666666655
209-2070,7,6264.31111111111,23491.16666666667,0.26666666666666655
244-2572,7,6032.937777777777,22623.516666666674,0.26666666666666655
432-5205,6,4498.404444444444,16869.016666666674,0.26666666666666655
482-3316,5,4297.3822222222225,16115.183333333342,0.26666666666666655
543-9500,6,4362.288888888888,16358.583333333338,0.26666666666666655
710-8749,6,5828.417777777779,21856.56666666668,0.26666666666666655
770-2525,6,5439.253333333333,20397.200000000008,0.26666666666666655
374-3234,9,9283.248888888887,34812.18333333334,0.26666666666666655
288-0862,6,5470.768888888889,20515.383333333342,0.26666666666666655
572-6377,4,3556.195555555556,13335.73333333334,0.26666666666666655
708-9436,4,3646.4844444444443,13674.316666666671,0.26666666666666655
760-1222,4,4268.706666666667,16007.650000000009,0.26666666666666655
861-0933,4,3304.968888888889,12393.633333333339,0.26666666666666655
351-6234,6,8149.839999999998,30561.90000000001,0.26666666666666655
470-1058,6,6073.942222222222,22777.28333333334,0.26666666666666655
200-5916,1,1381.977777777778,5182.41666666667,0.26666666666666655
548-9315,8,9076.617777777778,34037.31666666668,0.26666666666666655
632-9304,6,4974.315555555555,18653.683333333338,0.26666666666666655
869-9225,6,5687.506666666667,21328.150000000012,0.26666666666666655
581-1617,6,4779.413333333334,17922.80000000001,0.26666666666666655
742-3007,6,6714.253333333334,25178.45000000001,0.26666666666666655
494-0052,6,5835.346666666666,21882.55000000001,0.26666666666666655
573-4744,6,5378.1288888888885,20167.98333333334,0.26666666666666655
208-4978,5,4021.3999999999996,15080.250000000004,0.26666666666666655
445-1837,4,2812.4977777777776,10546.86666666667,0.26666666666666655
646-9407,4,3456.7155555555555,12962.683333333338,0.26666666666666655
378-6480,4,3717.115555555556,13939.18333333334,0.26666666666666655
403-2355,8,5874.475555555555,22029.28333333334,0.26666666666666655
205-0045,6,4841.195555555555,18154.48333333334,0.26666666666666655
568-7371,6,5090.4222222222215,19089.08333333334,0.26666666666666655
581-0502,6,5370.808888888889,20140.53333333334,0.26666666666666655
687-4796,6,4847.084444444444,18176.566666666673,0.26666666666666655
839-3563,6,4624.684444444444,17342.566666666673,0.26666666666666655
351-9717,5,3769.835555555555,14136.883333333337,0.26666666666666655
620-7591,4,3308.4577777777777,12406.71666666667,0.26666666666666655
872-5350,4,4020.7688888888893,15077.88333333334,0.26666666666666655
332-6253,6,5559.306666666667,20847.400000000012,0.26666666666666655
458-1005,6,5931.884444444444,22244.566666666673,0.26666666666666655
440-4570,4,3663.9822222222224,13739.93333333334,0.26666666666666655
848-1814,4,2637.604444444444,9891.01666666667,0.26666666666666655
585-6158,3,2885.431111111111,10820.36666666667,0.26666666666666655
477-6977,7,6128.826666666666,22983.10000000001,0.26666666666666655
846-5726,5,4184.488888888889,15691.83333333334,0.26666666666666655
854-4728,4,3139.235555555556,11772.13333333334,0.26666666666666655
216-5470,6,5869.044444444446,22008.916666666682,0.26666666666666655
803-9562,5,4560.595555555556,17102.23333333334,0.26666666666666655
485-6373,2,1408.6266666666668,5282.350000000003,0.26666666666666655
896-4678,7,9812.79111111111,36797.966666666674,0.26666666666666655
289-3022,9,9410.946666666667,35291.05000000002,0.26666666666666655
685-4657,3,4454.822222222222,16705.58333333334,0.26666666666666655
690-2084,2,1134.6488888888891,4254.933333333336,0.26666666666666655
411-9038,6,5536.551111111111,20762.066666666673,0.26666666666666655
872-4460,1,240.40444444444444,901.516666666667,0.26666666666666655
792-4913,3,3089.471111111111,11585.51666666667,0.26666666666666655
